DATE,oil_cpi
1957-11-01,14.000
1957-12-01,13.900
1958-01-01,13.800
1958-02-01,13.700
1958-03-01,13.700
1958-04-01,13.600
1958-05-01,13.600
1958-06-01,13.700
1958-07-01,13.700
1958-08-01,13.800
1958-09-01,13.900
1958-10-01,13.800
1958-11-01,13.800
1958-12-01,13.800
1959-01-01,13.900
1959-02-01,13.900
1959-03-01,14.000
1959-04-01,14.000
1959-05-01,14.000
1959-06-01,13.900
1959-07-01,13.900
1959-08-01,13.800
1959-09-01,13.800
1959-10-01,13.800
1959-11-01,13.800
1959-12-01,13.800
1960-01-01,13.900
1960-02-01,13.800
1960-03-01,13.700
1960-04-01,13.800
1960-05-01,13.700
1960-06-01,13.800
1960-07-01,13.800
1960-08-01,13.800
1960-09-01,13.800
1960-10-01,13.900
1960-11-01,13.800
1960-12-01,13.800
1961-01-01,13.900
1961-02-01,14.100
1961-03-01,14.100
1961-04-01,14.100
1961-05-01,14.100
1961-06-01,14.100
1961-07-01,14.100
1961-08-01,14.200
1961-09-01,14.100
1961-10-01,14.100
1961-11-01,14.100
1961-12-01,14.100
1962-01-01,14.100
1962-02-01,14.100
1962-03-01,14.100
1962-04-01,14.100
1962-05-01,14.100
1962-06-01,14.100
1962-07-01,14.100
1962-08-01,14.100
1962-09-01,14.200
1962-10-01,14.200
1962-11-01,14.300
1962-12-01,14.400
1963-01-01,14.300
1963-02-01,14.300
1963-03-01,14.300
1963-04-01,14.400
1963-05-01,14.400
1963-06-01,14.400
1963-07-01,14.500
1963-08-01,14.500
1963-09-01,14.500
1963-10-01,14.500
1963-11-01,14.600
1963-12-01,14.500
1964-01-01,14.500
1964-02-01,14.500
1964-03-01,14.500
1964-04-01,14.200
1964-05-01,14.300
1964-06-01,14.300
1964-07-01,14.200
1964-08-01,14.200
1964-09-01,14.200
1964-10-01,14.300
1964-11-01,14.300
1964-12-01,14.500
1965-01-01,14.500
1965-02-01,14.600
1965-03-01,14.600
1965-04-01,14.600
1965-05-01,14.600
1965-06-01,14.600
1965-07-01,14.500
1965-08-01,14.600
1965-09-01,14.600
1965-10-01,14.900
1965-11-01,14.800
1965-12-01,14.900
1966-01-01,14.900
1966-02-01,14.900
1966-03-01,15.000
1966-04-01,15.000
1966-05-01,15.100
1966-06-01,15.000
1966-07-01,15.000
1966-08-01,15.000
1966-09-01,15.000
1966-10-01,15.000
1966-11-01,15.100
1966-12-01,15.200
1967-01-01,15.300
1967-02-01,15.400
1967-03-01,15.400
1967-04-01,15.400
1967-05-01,15.400
1967-06-01,15.400
1967-07-01,15.500
1967-08-01,15.500
1967-09-01,15.600
1967-10-01,15.600
1967-11-01,15.700
1967-12-01,15.700
1968-01-01,15.700
1968-02-01,15.700
1968-03-01,15.800
1968-04-01,15.800
1968-05-01,16.000
1968-06-01,16.000
1968-07-01,16.100
1968-08-01,16.100
1968-09-01,16.100
1968-10-01,16.100
1968-11-01,16.100
1968-12-01,16.100
1969-01-01,16.100
1969-02-01,16.100
1969-03-01,16.200
1969-04-01,16.200
1969-05-01,16.300
1969-06-01,16.300
1969-07-01,16.300
1969-08-01,16.400
1969-09-01,16.500
1969-10-01,16.500
1969-11-01,16.500
1969-12-01,16.600
1970-01-01,16.500
1970-02-01,16.600
1970-03-01,16.600
1970-04-01,16.700
1970-05-01,16.700
1970-06-01,16.800
1970-07-01,17.000
1970-08-01,17.200
1970-09-01,17.400
1970-10-01,17.600
1970-11-01,17.700
1970-12-01,17.800
1971-01-01,17.900
1971-02-01,17.900
1971-03-01,18.000
1971-04-01,18.000
1971-05-01,18.100
1971-06-01,18.200
1971-07-01,18.300
1971-08-01,18.400
1971-09-01,18.500
1971-10-01,18.500
1971-11-01,18.300
1971-12-01,18.300
1972-01-01,18.200
1972-02-01,18.100
1972-03-01,18.100
1972-04-01,18.200
1972-05-01,18.300
1972-06-01,18.300
1972-07-01,18.400
1972-08-01,18.500
1972-09-01,18.600
1972-10-01,18.500
1972-11-01,18.500
1972-12-01,18.400
1973-01-01,18.400
1973-02-01,19.300
1973-03-01,19.500
1973-04-01,19.700
1973-05-01,20.000
1973-06-01,20.500
1973-07-01,20.600
1973-08-01,20.900
1973-09-01,21.100
1973-10-01,22.200
1973-11-01,24.200
1973-12-01,26.600
1974-01-01,29.600
1974-02-01,30.600
1974-03-01,30.700
1974-04-01,31.700
1974-05-01,32.600
1974-06-01,33.300
1974-07-01,34.200
1974-08-01,34.800
1974-09-01,35.200
1974-10-01,35.500
1974-11-01,35.600
1974-12-01,35.200
1975-01-01,34.900
1975-02-01,34.800
1975-03-01,34.900
1975-04-01,35.300
1975-05-01,35.700
1975-06-01,35.900
1975-07-01,36.600
1975-08-01,37.100
1975-09-01,37.600
1975-10-01,38.100
1975-11-01,38.100
1975-12-01,38.200
1976-01-01,38.400
1976-02-01,38.200
1976-03-01,37.900
1976-04-01,38.000
1976-05-01,38.000
1976-06-01,38.300
1976-07-01,38.500
1976-08-01,38.800
1976-09-01,39.200
1976-10-01,39.500
1976-11-01,40.300
1976-12-01,41.000
1977-01-01,42.100
1977-02-01,42.500
1977-03-01,42.700
1977-04-01,43.000
1977-05-01,43.400
1977-06-01,43.600
1977-07-01,44.000
1977-08-01,44.200
1977-09-01,44.700
1977-10-01,45.200
1977-11-01,45.700
1977-12-01,45.700
1978-01-01,45.500
1978-02-01,45.300
1978-03-01,45.400
1978-04-01,45.700
1978-05-01,45.800
1978-06-01,45.700
1978-07-01,45.700
1978-08-01,45.800
1978-09-01,46.200
1978-10-01,47.000
1978-11-01,47.800
1978-12-01,48.400
1979-01-01,48.600
1979-02-01,49.600
1979-03-01,51.700
1979-04-01,53.900
1979-05-01,56.600
1979-06-01,60.700
1979-07-01,64.200
1979-08-01,68.400
1979-09-01,72.300
1979-10-01,73.600
1979-11-01,74.600
1979-12-01,75.500
1980-01-01,78.500
1980-02-01,80.800
1980-03-01,83.700
1980-04-01,86.300
1980-05-01,86.300
1980-06-01,86.700
1980-07-01,87.400
1980-08-01,88.100
1980-09-01,88.200
1980-10-01,87.600
1980-11-01,88.600
1980-12-01,91.000
1981-01-01,95.500
1981-02-01,101.900
1981-03-01,106.100
1981-04-01,107.800
1981-05-01,106.500
1981-06-01,106.200
1981-07-01,106.300
1981-08-01,106.200
1981-09-01,106.200
1981-10-01,104.800
1981-11-01,104.400
1981-12-01,104.200
1982-01-01,103.500
1982-02-01,103.300
1982-03-01,102.800
1982-04-01,101.800
1982-05-01,101.600
1982-06-01,103.300
1982-07-01,104.100
1982-08-01,104.400
1982-09-01,103.900
1982-10-01,104.500
1982-11-01,104.800
1982-12-01,102.800
1983-01-01,102.000
1983-02-01,98.400
1983-03-01,95.300
1983-04-01,95.100
1983-05-01,97.000
1983-06-01,96.900
1983-07-01,97.200
1983-08-01,97.900
1983-09-01,98.100
1983-10-01,97.300
1983-11-01,96.100
1983-12-01,95.000
1984-01-01,97.500
1984-02-01,103.700
1984-03-01,100.700
1984-04-01,101.300
1984-05-01,101.100
1984-06-01,100.900
1984-07-01,100.600
1984-08-01,99.500
1984-09-01,98.200
1984-10-01,97.700
1984-11-01,96.400
1984-12-01,94.800
1985-01-01,94.600
1985-02-01,94.300
1985-03-01,94.700
1985-04-01,95.700
1985-05-01,96.000
1985-06-01,95.300
1985-07-01,94.900
1985-08-01,94.500
1985-09-01,95.200
1985-10-01,96.300
1985-11-01,98.800
1985-12-01,100.500
1986-01-01,99.700
1986-02-01,89.900
1986-03-01,84.200
1986-04-01,79.400
1986-05-01,76.400
1986-06-01,75.400
1986-07-01,72.000
1986-08-01,70.600
1986-09-01,71.400
1986-10-01,70.800
1986-11-01,70.100
1986-12-01,71.000
1987-01-01,73.600
1987-02-01,75.000
1987-03-01,75.600
1987-04-01,76.000
1987-05-01,76.100
1987-06-01,77.300
1987-07-01,79.200
1987-08-01,80.600
1987-09-01,80.300
1987-10-01,80.600
1987-11-01,80.900
1987-12-01,80.000
1988-01-01,78.500
1988-02-01,78.700
1988-03-01,78.800
1988-04-01,78.700
1988-05-01,79.600
1988-06-01,79.600
1988-07-01,78.800
1988-08-01,79.000
1988-09-01,78.200
1988-10-01,76.300
1988-11-01,74.700
1988-12-01,75.900
1989-01-01,78.000
1989-02-01,79.000
1989-03-01,79.700
1989-04-01,81.000
1989-05-01,80.800
1989-06-01,80.700
1989-07-01,81.600
1989-08-01,81.300
1989-09-01,81.600
1989-10-01,83.500
1989-11-01,84.700
1989-12-01,87.900
1990-01-01,110.600
1990-02-01,92.800
1990-03-01,89.800
1990-04-01,88.400
1990-05-01,87.500
1990-06-01,85.500
1990-07-01,84.400
1990-08-01,94.400
1990-09-01,107.200
1990-10-01,120.300
1990-11-01,117.200
1990-12-01,113.100
1991-01-01,108.200
1991-02-01,103.000
1991-03-01,97.600
1991-04-01,93.300
1991-05-01,90.500
1991-06-01,90.000
1991-07-01,89.500
1991-08-01,90.200
1991-09-01,91.100
1991-10-01,92.000
1991-11-01,95.300
1991-12-01,93.800
1992-01-01,89.300
1992-02-01,88.700
1992-03-01,88.300
1992-04-01,88.600
1992-05-01,89.500
1992-06-01,91.300
1992-07-01,92.400
1992-08-01,92.800
1992-09-01,92.500
1992-10-01,92.500
1992-11-01,92.300
1992-12-01,90.900
1993-01-01,90.200
1993-02-01,89.800
1993-03-01,91.300
1993-04-01,91.800
1993-05-01,91.200
1993-06-01,91.500
1993-07-01,91.400
1993-08-01,90.500
1993-09-01,89.900
1993-10-01,89.700
1993-11-01,89.200
1993-12-01,87.300
1994-01-01,87.200
1994-02-01,91.100
1994-03-01,90.800
1994-04-01,89.200
1994-05-01,88.500
1994-06-01,88.600
1994-07-01,89.300
1994-08-01,89.500
1994-09-01,88.900
1994-10-01,87.800
1994-11-01,87.400
1994-12-01,87.200
1995-01-01,87.300
1995-02-01,86.900
1995-03-01,87.100
1995-04-01,87.300
1995-05-01,88.200
1995-06-01,88.900
1995-07-01,89.300
1995-08-01,89.300
1995-09-01,88.900
1995-10-01,88.000
1995-11-01,87.500
1995-12-01,88.500
1996-01-01,94.900
1996-02-01,94.100
1996-03-01,96.200
1996-04-01,100.200
1996-05-01,99.200
1996-06-01,95.800
1996-07-01,95.200
1996-08-01,95.700
1996-09-01,98.300
1996-10-01,104.500
1996-11-01,106.700
1996-12-01,109.500
1997-01-01,108.300
1997-02-01,105.600
1997-03-01,102.400
1997-04-01,100.300
1997-05-01,100.100
1997-06-01,99.600
1997-07-01,98.200
1997-08-01,97.600
1997-09-01,96.500
1997-10-01,96.900
1997-11-01,96.700
1997-12-01,95.200
1998-01-01,92.800
1998-02-01,91.300
1998-03-01,91.600
1998-04-01,91.000
1998-05-01,91.600
1998-06-01,91.200
1998-07-01,91.500
1998-08-01,91.000
1998-09-01,88.800
1998-10-01,87.800
1998-11-01,86.900
1998-12-01,84.200
1999-01-01,83.700
1999-02-01,82.900
1999-03-01,83.400
1999-04-01,85.600
1999-05-01,87.300
1999-06-01,88.800
1999-07-01,91.000
1999-08-01,93.600
1999-09-01,97.200
1999-10-01,99.400
1999-11-01,101.000
1999-12-01,104.900
2000-01-01,111.000
2000-02-01,141.100
2000-03-01,125.100
2000-04-01,120.600
2000-05-01,120.600
2000-06-01,122.600
2000-07-01,125.500
2000-08-01,126.300
2000-09-01,138.600
2000-10-01,140.400
2000-11-01,141.500
2000-12-01,144.300
2001-01-01,145.200
2001-02-01,138.200
2001-03-01,131.900
2001-04-01,130.500
2001-05-01,130.400
2001-06-01,131.400
2001-07-01,128.600
2001-08-01,127.600
2001-09-01,129.700
2001-10-01,124.000
2001-11-01,119.700
2001-12-01,112.600
2002-01-01,109.700
2002-02-01,107.300
2002-03-01,109.500
2002-04-01,112.700
2002-05-01,113.900
2002-06-01,114.500
2002-07-01,115.800
2002-08-01,116.600
2002-09-01,118.000
2002-10-01,120.600
2002-11-01,122.800
2002-12-01,125.000
2003-01-01,134.700
2003-02-01,148.800
2003-03-01,163.200
2003-04-01,144.200
2003-05-01,137.500
2003-06-01,135.500
2003-07-01,135.600
2003-08-01,135.600
2003-09-01,133.100
2003-10-01,131.600
2003-11-01,134.700
2003-12-01,136.500
2004-01-01,148.700
2004-02-01,147.200
2004-03-01,146.600
2004-04-01,145.500
2004-05-01,151.300
2004-06-01,154.900
2004-07-01,156.400
2004-08-01,161.300
2004-09-01,164.500
2004-10-01,176.500
2004-11-01,186.400
2004-12-01,183.100
2005-01-01,181.200
2005-02-01,188.500
2005-03-01,195.500
2005-04-01,199.500
2005-05-01,193.900
2005-06-01,195.000
2005-07-01,202.900
2005-08-01,209.800
2005-09-01,235.900
2005-10-01,241.100
2005-11-01,231.500
2005-12-01,227.800
2006-01-01,229.500
2006-02-01,230.500
2006-03-01,230.400
2006-04-01,236.400
2006-05-01,239.800
2006-06-01,239.100
2006-07-01,241.900
2006-08-01,245.300
2006-09-01,237.100
2006-10-01,227.900
2006-11-01,227.200
2006-12-01,233.200
2007-01-01,227.930
2007-02-01,231.800
2007-03-01,236.863
2007-04-01,240.090
2007-05-01,241.473
2007-06-01,241.589
2007-07-01,245.680
2007-08-01,246.542
2007-09-01,252.580
2007-10-01,261.745
2007-11-01,291.845
2007-12-01,299.296
2008-01-01,306.937
2008-02-01,308.269
2008-03-01,332.139
2008-04-01,342.811
2008-05-01,363.872
2008-06-01,389.423
2008-07-01,395.706
2008-08-01,367.794
2008-09-01,349.164
2008-10-01,318.667
2008-11-01,281.869
2008-12-01,256.209
2009-01-01,247.163
2009-02-01,242.264
2009-03-01,230.837
2009-04-01,228.107
2009-05-01,225.164
2009-06-01,232.638
2009-07-01,230.192
2009-08-01,237.521
2009-09-01,236.616
2009-10-01,243.936
2009-11-01,260.250
2009-12-01,262.649
2010-01-01,280.850
2010-02-01,277.284
2010-03-01,276.027
2010-04-01,278.080
2010-05-01,272.606
2010-06-01,265.521
2010-07-01,261.257
2010-08-01,263.196
2010-09-01,265.812
2010-10-01,276.551
2010-11-01,286.367
2010-12-01,298.037
2011-01-01,308.306
2011-02-01,315.129
2011-03-01,328.847
2011-04-01,340.035
2011-05-01,345.325
2011-06-01,345.235
2011-07-01,346.556
2011-08-01,345.613
2011-09-01,344.318
2011-10-01,343.218
2011-11-01,346.209
2011-12-01,341.472
2012-01-01,338.522
2012-02-01,339.818
2012-03-01,339.337
2012-04-01,344.224
2012-05-01,341.340
2012-06-01,323.907
2012-07-01,320.495
2012-08-01,330.489
2012-09-01,336.390
2012-10-01,339.808
2012-11-01,339.536
2012-12-01,335.029
2013-01-01,332.369
2013-02-01,333.382
2013-03-01,326.197
2013-04-01,322.008
2013-05-01,319.910
2013-06-01,324.282
2013-07-01,329.138
2013-08-01,336.346
2013-09-01,338.721
2013-10-01,336.807
2013-11-01,339.241
2013-12-01,344.229
2014-01-01,362.763
2014-02-01,380.493
2014-03-01,351.003
2014-04-01,339.230
2014-05-01,338.133
2014-06-01,337.430
2014-07-01,339.539
2014-08-01,341.586
2014-09-01,334.456
2014-10-01,324.173
2014-11-01,317.539
2014-12-01,295.803
2015-01-01,271.995
2015-02-01,269.581
2015-03-01,277.412
2015-04-01,266.033
2015-05-01,265.633
2015-06-01,264.318
2015-07-01,257.504
2015-08-01,248.505
2015-09-01,241.730
2015-10-01,241.086
2015-11-01,240.593
2015-12-01,226.086
2016-01-01,216.783
2016-02-01,211.224
2016-03-01,211.022
2016-04-01,214.852
2016-05-01,222.964
2016-06-01,231.040
2016-07-01,230.939
2016-08-01,229.880
2016-09-01,230.808
2016-10-01,236.624
2016-11-01,236.856
2016-12-01,243.050
2017-01-01,250.609
2017-02-01,250.204
2017-03-01,248.337
2017-04-01,250.189
2017-05-01,246.053
2017-06-01,243.807
2017-07-01,241.841
2017-08-01,251.601
2017-09-01,261.648
2017-10-01,262.678
2017-11-01,272.302
2017-12-01,272.946
2018-01-01,292.046
2018-02-01,285.987
